timestamp;set_curr_ps;set_volt_ps;set_pow_ps;set_curr_el;set_volt_el;set_pow_el;meas_curr_ps;meas_volt_ps;meas_pow_ps;meas_curr_el;meas_volt_el;meas_pow_el
2026-01-06 15:43:13;39.998 A;24.000 V;979.922 W;40.000 A;;979.969 W;40.008 A;24.014 V;960.703 W;39.930 A;23.916 V;954.000 W
2026-01-06 15:43:15;39.998 A;34.000 V;1380.000 W;40.000 A;;1380.000 W;40.069 A;32.773 V;1313.086 W;39.930 A;32.156 V;1285.031 W
2026-01-06 15:43:18;49.997 A;4.000 V;219.961 W;50.000 A;;219.938 W;50.053 A;3.987 V;199.102 W;49.945 A;3.872 V;195.000 W
2026-01-06 15:43:20;49.997 A;14.000 V;720.000 W;50.000 A;;720.000 W;50.044 A;3.591 V;179.531 W;49.945 A;3.491 V;175.031 W
2026-01-06 15:43:22;49.997 A;24.000 V;1219.922 W;50.000 A;;1219.969 W;50.039 A;3.016 V;150.820 W;49.945 A;2.912 V;145.031 W
2026-01-06 15:43:24;49.997 A;34.000 V;1719.961 W;50.000 A;;1719.938 W;50.025 A;2.381 V;118.945 W;49.945 A;2.272 V;115.031 W
2026-01-06 15:43:26;60.000 A;4.000 V;259.922 W;60.000 A;;259.969 W;60.047 A;3.652 V;219.141 W;59.953 A;3.572 V;216.000 W
2026-01-06 15:43:28;60.000 A;14.000 V;859.922 W;60.000 A;;859.969 W;60.047 A;2.841 V;170.508 W;59.953 A;2.750 V;168.000 W
2026-01-06 15:43:30;60.000 A;24.000 V;1459.922 W;60.000 A;;1459.969 W;60.052 A;1.783 V;106.992 W;59.953 A;1.759 V;108.000 W
2026-01-06 15:43:32;60.000 A;34.000 V;2059.922 W;60.000 A;;2059.969 W;60.047 A;1.148 V;68.789 W;59.953 A;1.053 V;66.000 W
2026-01-06 15:43:34;69.998 A;4.000 V;300.000 W;70.000 A;;300.000 W;69.989 A;0.400 V;27.891 W;69.883 A;0.247 V;13.969 W
2026-01-06 15:43:36;69.998 A;14.000 V;999.961 W;70.000 A;;999.938 W;69.998 A;0.398 V;27.773 W;69.883 A;0.247 V;13.969 W
2026-01-06 15:43:38;69.998 A;24.000 V;1699.922 W;70.000 A;;1699.969 W;69.980 A;0.394 V;27.422 W;69.883 A;0.247 V;13.969 W
2026-01-06 15:43:40;69.998 A;34.000 V;2400.000 W;70.000 A;;2400.000 W;69.994 A;0.395 V;27.656 W;69.883 A;0.247 V;13.969 W
2026-01-06 15:43:43;79.997 A;4.000 V;339.961 W;80.000 A;;339.938 W;79.931 A;0.452 V;35.977 W;79.820 A;0.291 V;24.000 W
2026-01-06 15:43:45;79.997 A;14.000 V;1140.000 W;80.000 A;;1140.000 W;79.936 A;0.455 V;36.211 W;79.820 A;0.291 V;24.000 W
2026-01-06 15:43:47;79.997 A;24.000 V;1939.922 W;80.000 A;;1939.969 W;79.931 A;0.458 V;36.445 W;79.820 A;0.291 V;24.000 W
2026-01-06 15:43:49;79.997 A;34.000 V;2400.000 W;80.000 A;;2400.000 W;79.936 A;0.452 V;35.977 W;79.820 A;0.291 V;24.000 W
2026-01-06 15:43:51;90.000 A;4.000 V;379.922 W;90.000 A;;379.969 W;89.944 A;0.506 V;45.469 W;89.828 A;0.328 V;27.000 W
2026-01-06 15:43:53;90.000 A;14.000 V;1279.922 W;90.000 A;;1279.969 W;89.953 A;0.509 V;45.703 W;89.828 A;0.328 V;27.000 W
2026-01-06 15:43:55;90.000 A;24.000 V;2179.922 W;90.000 A;;2179.969 W;89.939 A;0.511 V;45.938 W;89.813 A;0.328 V;27.000 W
2026-01-06 15:43:57;90.000 A;34.000 V;2400.000 W;90.000 A;;2400.000 W;89.944 A;0.511 V;45.820 W;89.828 A;0.328 V;27.000 W
2026-01-06 15:43:59;99.998 A;4.000 V;420.000 W;100.000 A;;420.000 W;99.980 A;0.563 V;56.133 W;99.836 A;0.369 V;40.031 W
2026-01-06 15:44:01;99.998 A;14.000 V;1419.961 W;100.000 A;;1419.938 W;99.980 A;0.563 V;56.133 W;99.836 A;0.369 V;40.031 W
2026-01-06 15:44:03;99.998 A;24.000 V;2400.000 W;100.000 A;;2400.000 W;99.989 A;0.559 V;55.898 W;99.852 A;0.369 V;40.031 W
2026-01-06 15:44:05;99.998 A;34.000 V;2400.000 W;100.000 A;;2400.000 W;99.966 A;0.567 V;56.602 W;99.852 A;0.369 V;40.031 W
2026-01-06 15:44:07;109.997 A;4.000 V;459.961 W;110.000 A;;459.938 W;109.922 A;0.622 V;68.789 W;109.797 A;0.406 V;43.969 W
2026-01-06 15:44:10;109.997 A;14.000 V;1560.000 W;110.000 A;;1560.000 W;109.931 A;0.620 V;68.086 W;109.797 A;0.406 V;43.969 W
2026-01-06 15:44:12;109.997 A;24.000 V;2400.000 W;110.000 A;;2400.000 W;109.927 A;0.625 V;68.555 W;109.797 A;0.406 V;43.969 W
2026-01-06 15:44:14;109.997 A;34.000 V;2400.000 W;110.000 A;;2400.000 W;109.941 A;0.627 V;68.789 W;109.797 A;0.406 V;43.969 W
2026-01-06 15:44:16;120.000 A;4.000 V;499.922 W;120.000 A;;499.969 W;119.972 A;0.688 V;82.383 W;119.844 A;0.450 V;60.000 W
2026-01-06 15:44:18;120.000 A;14.000 V;1699.922 W;120.000 A;;1699.969 W;119.991 A;0.681 V;81.680 W;119.844 A;0.450 V;60.000 W
2026-01-06 15:44:20;120.000 A;24.000 V;2400.000 W;120.000 A;;2400.000 W;119.963 A;0.680 V;81.445 W;119.844 A;0.450 V;60.000 W
2026-01-06 15:44:22;120.000 A;34.000 V;2400.000 W;120.000 A;;2400.000 W;119.986 A;0.686 V;82.148 W;119.844 A;0.450 V;60.000 W
