timestamp;set_curr_ps;set_volt_ps;set_pow_ps;set_curr_el;set_volt_el;set_pow_el;meas_curr_ps;meas_volt_ps;meas_pow_ps;meas_curr_el;meas_volt_el;meas_pow_el
2026-01-06 15:42:36;0.000 A;4.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:42:38;0.000 A;14.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:42:40;0.000 A;24.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:42:42;0.000 A;34.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:42:44;9.998 A;4.000 V;60.000 W;10.000 A;;60.000 W;9.975 A;3.992 V;39.609 W;9.914 A;3.941 V;39.000 W
2026-01-06 15:42:46;9.998 A;14.000 V;159.961 W;10.000 A;;159.938 W;9.989 A;8.697 V;86.719 W;9.914 A;8.347 V;82.031 W
2026-01-06 15:42:48;9.998 A;24.000 V;259.922 W;10.000 A;;259.969 W;9.984 A;13.047 V;130.195 W;9.914 A;13.000 V;129.000 W
2026-01-06 15:42:51;9.998 A;34.000 V;360.000 W;10.000 A;;360.000 W;9.975 A;17.423 V;173.672 W;9.914 A;16.897 V;166.969 W
2026-01-06 15:42:53;19.997 A;4.000 V;99.961 W;20.000 A;;99.938 W;19.969 A;0.117 V;2.227 W;19.898 A;0.056 V;1.969 W
2026-01-06 15:42:55;19.997 A;14.000 V;300.000 W;20.000 A;;300.000 W;19.945 A;0.111 V;2.109 W;19.883 A;0.050 V;1.969 W
2026-01-06 15:42:57;19.997 A;24.000 V;499.922 W;20.000 A;;499.969 W;19.945 A;0.122 V;2.344 W;19.898 A;0.047 V;0.000 W
2026-01-06 15:42:59;19.997 A;34.000 V;699.961 W;20.000 A;;699.938 W;19.950 A;0.117 V;2.227 W;19.898 A;0.050 V;1.969 W
2026-01-06 15:43:01;30.000 A;4.000 V;139.922 W;30.000 A;;139.969 W;29.977 A;3.987 V;119.414 W;29.906 A;3.906 V;117.000 W
2026-01-06 15:43:03;30.000 A;14.000 V;139.922 W;30.000 A;;439.969 W;29.991 A;14.020 V;420.352 W;29.898 A;13.938 V;415.969 W
2026-01-06 15:43:05;30.000 A;24.000 V;439.922 W;30.000 A;;739.969 W;29.986 A;24.016 V;720.117 W;29.898 A;23.931 V;715.031 W
2026-01-06 15:43:07;30.000 A;34.000 V;1039.922 W;30.000 A;;1039.969 W;30.000 A;34.002 V;1020.000 W;29.898 A;33.853 V;1014.000 W
2026-01-06 15:43:09;39.998 A;4.000 V;180.000 W;40.000 A;;180.000 W;40.013 A;3.989 V;159.492 W;39.930 A;3.888 V;156.000 W
2026-01-06 15:43:11;39.998 A;14.000 V;579.961 W;40.000 A;;579.938 W;40.022 A;14.017 V;560.859 W;39.930 A;13.922 V;555.000 W
