timestamp;set_curr_ps;set_volt_ps;set_pow_ps;set_curr_el;set_volt_el;set_pow_el;meas_curr_ps;meas_volt_ps;meas_pow_ps;meas_curr_el;meas_volt_el;meas_pow_el
2026-01-07 08:59:07;120.000 A;0.000 V;2400.000 W;120.000 A;;2400.000 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-07 08:59:09;120.000 A;4.000 V;2400.000 W;120.000 A;;2400.000 W;119.967 A;0.667 V;80.039 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:11;120.000 A;8.000 V;2400.000 W;120.000 A;;2400.000 W;119.977 A;0.669 V;80.156 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:13;120.000 A;12.000 V;2400.000 W;120.000 A;;2400.000 W;119.972 A;0.667 V;80.039 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:15;120.000 A;16.000 V;2400.000 W;120.000 A;;2400.000 W;119.972 A;0.667 V;80.039 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:17;120.000 A;20.000 V;2400.000 W;120.000 A;;2400.000 W;119.977 A;0.667 V;80.039 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:19;120.000 A;24.000 V;2400.000 W;120.000 A;;2400.000 W;119.981 A;0.670 V;80.391 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:21;120.000 A;28.000 V;2400.000 W;120.000 A;;2400.000 W;119.986 A;0.675 V;80.859 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:23;120.000 A;32.000 V;2400.000 W;120.000 A;;2400.000 W;119.991 A;0.667 V;80.039 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:25;120.000 A;36.000 V;2400.000 W;120.000 A;;2400.000 W;119.991 A;0.666 V;79.688 W;119.797 A;0.438 V;48.000 W
2026-01-07 08:59:27;120.000 A;40.000 V;2400.000 W;120.000 A;;2400.000 W;119.995 A;0.669 V;80.156 W;119.797 A;0.438 V;48.000 W
