timestamp;set_curr_ps;set_volt_ps;set_pow_ps;set_curr_el;set_volt_el;set_pow_el;meas_curr_ps;meas_volt_ps;meas_pow_ps;meas_curr_el;meas_volt_el;meas_pow_el
2026-01-07 09:48:55;0.0;40.0;2400.0;0.0;;2400.0;0.0;0.0;0.0;0.0;0.0;0.0
2026-01-07 09:48:58;4.997;40.0;2400.0;5.0;;2400.0;4.927;0.0;0.0;4.898;0.0;0.0
2026-01-07 09:49:00;9.998;40.0;2400.0;10.0;;2400.0;9.989;3.648;36.328;9.914;3.487;34.969
2026-01-07 09:49:02;15.0;40.0;2400.0;15.0;;2400.0;14.953;7.1;106.055;14.883;6.925;103.031
2026-01-07 09:49:04;19.997;40.0;2400.0;20.0;;2400.0;19.945;8.839;176.25;19.922;8.984;178.969
2026-01-07 09:49:06;24.998;40.0;2400.0;25.0;;2400.0;25.036;15.014;375.82;24.914;14.994;373.031
2026-01-07 09:49:08;30.0;40.0;2400.0;30.0;;2400.0;30.038;14.87;446.602;29.898;14.675;439.969
2026-01-07 09:49:10;34.997;40.0;2400.0;35.0;;2400.0;35.077;27.091;950.156;34.938;26.794;934.969
2026-01-07 09:49:12;39.998;40.0;2400.0;40.0;;2400.0;40.069;37.041;1484.18;39.93;36.534;1456.031
2026-01-07 09:49:14;45.0;40.0;2400.0;45.0;;2400.0;45.023;39.98;1800.0;44.914;39.875;1792.031
2026-01-07 09:49:16;49.997;40.0;2400.0;50.0;;2400.0;50.048;38.839;1943.906;49.945;38.825;1936.031
2026-01-07 09:49:18;54.998;40.0;2400.0;55.0;;2400.0;55.045;39.981;2200.664;54.953;39.859;2194.031
2026-01-07 09:49:20;60.0;40.0;2400.0;60.0;;2400.0;60.052;30.267;1817.461;59.953;30.153;1812.0
2026-01-07 09:49:22;64.997;40.0;2400.0;65.0;;2400.0;65.063;24.264;1578.516;65.0;24.069;1566.0
2026-01-07 09:49:24;69.998;40.0;2400.0;70.0;;2400.0;69.994;9.133;639.023;69.992;9.962;700.031
2026-01-07 09:49:26;75.0;40.0;2400.0;75.0;;2400.0;74.939;0.436;32.578;74.828;0.275;22.031
2026-01-07 09:49:28;79.997;40.0;2400.0;80.0;;2400.0;79.931;0.453;36.094;79.805;0.294;24.0
2026-01-07 09:49:30;84.998;40.0;2400.0;85.0;;2400.0;84.97;0.489;41.484;84.852;0.316;25.031
2026-01-07 09:49:32;90.0;40.0;2400.0;90.0;;2400.0;89.92;0.506;45.469;89.813;0.331;27.0
2026-01-07 09:49:35;94.997;40.0;2400.0;95.0;;2400.0;94.973;0.542;51.445;94.836;0.353;37.969
2026-01-07 09:49:37;99.998;40.0;2400.0;100.0;;2400.0;99.975;0.567;56.602;99.836;0.375;40.031
2026-01-07 09:49:39;105.0;40.0;2400.0;105.0;;2400.0;104.944;0.6;62.813;104.805;0.391;42.0
2026-01-07 09:49:41;109.997;40.0;2400.0;110.0;;2400.0;109.927;0.628;68.906;109.781;0.412;43.969
2026-01-07 09:49:43;114.998;40.0;2400.0;115.0;;2400.0;114.97;0.658;75.586;114.828;0.434;46.031
2026-01-07 09:49:45;120.0;40.0;2400.0;120.0;;2400.0;119.972;0.686;82.148;119.82;0.453;60.0
