set_current_a;pcb1_current_a;ref1_current_a;pcb2_current_a;ref2_current_a
-120.00;-122.8993734;-118.8699192;;
-80.00;-81.9117228;-79.1885009;;
-40.00;-41.0919189;-39.6876816;;
0.00;-0.0381470;0.0026965;;
40.00;40.9113566;39.6839701;;
80.00;81.7133586;79.1851258;;
120.00;122.7060954;118.8713890;;
;;;-122.2305298;-118.8819277
;;;-81.4412435;-79.1960099
;;;-40.8528646;-39.6975538
;;;0.0411987;-0.0009664
;;;40.7384237;39.6938275
;;;81.3293457;79.1958809
;;;122.1211751;118.8818485
