set_current_a;pcb1_current_a;ref1_current_a;pcb2_current_a;ref2_current_a
-120.00;-121.9914754;-118.8841036;-121.3862101;-118.8976012
-80.00;-81.2835693;-79.2005493;-80.8995565;-79.2092988
-40.00;-40.7765706;-39.6985160;-40.5934652;-39.7085434
0.00;0.0295003;0.0007980;-0.0528971;-0.0002794
40.00;40.6672160;39.7030666;40.4281616;39.7032956
80.00;81.1818441;79.2036537;80.7393392;79.2094503
120.00;121.8922933;118.8918943;121.2412516;118.8952918
